state,2000_population,2010_population,2000_to_2010_change,2020_predicted,2020_population
AK,626932,710231,0.117284,793529,733391
AL,4447100,4779736,0.069593,5112372,5024279
AR,2673400,2915918,0.08317,3158434,3011524
AZ,5130632,6392017,0.197338,7653404,7151502
CA,33871648,37253956,0.090791,40636279,39538223
CO,4301261,5029196,0.144742,5757131,5773714
CT,3405565,3574097,0.047154,3742629,3605944
DE,783600,897934,0.12733,1012267,989948
FL,15982378,18801310,0.149933,21620246,21538187
GA,8186453,9687653,0.15496,11188851,10711908
HI,1211537,1360301,0.109361,1509064,1455271
IA,2926324,3046355,0.039402,3166387,3190369
ID,1293953,1567582,0.174555,1841211,1839106
IN,6080485,6483802,0.062204,6887120,6785528
KS,2688418,2853118,0.057726,3017817,2937880
KY,4041769,4339367,0.068581,4636965,4505836
LA,4468976,4533372,0.014205,4597768,4657757
MA,6349097,6547629,0.030321,6746159,7029917
MD,5296486,5773552,0.08263,6250620,6177224
ME,1274923,1328361,0.040229,1381799,1362359
MN,4919479,5303925,0.072483,5688369,5706494
MO,5595211,5988927,0.065741,6382645,6154913
MT,902195,989415,0.088153,1076634,1084225
NC,8049313,9535483,0.155857,11021654,10439388
ND,642200,672591,0.045185,702982,779094
NE,1711263,1826341,0.06301,1941418,1961504
NH,1235786,1316470,0.061288,1397153,1377529
NJ,8414350,8791894,0.042942,9169435,9288994
NM,1819046,2059179,0.116616,2299312,2117522
NV,1998257,2700551,0.260056,3402845,3104614
NY,18976457,19378102,0.020727,19779751,20201249
OH,11353140,11536504,0.015894,11719865,11799448
OK,3450654,3751351,0.080157,4052048,3959353
OR,3421399,3831074,0.106935,4240749,4237256
PA,12281054,12702379,0.033169,13123704,13002700
RI,1048319,1052567,0.004036,1056815,1097379
SC,4012012,4625364,0.132606,5238715,5118425
SD,754844,814180,0.072878,873515,886667
TN,5689283,6346105,0.1035,7002926,6910840
TX,20851820,25145561,0.170755,29439291,29145505
UT,2233169,2763885,0.192018,3294600,3271616
VA,7078515,8001024,0.115299,8923534,8631393
VT,608827,625741,0.02703,642654,643077
WA,5894121,6724540,0.123491,7554960,7705281
WI,5363675,5686986,0.056851,6010296,5893718
WY,493782,563626,0.123919,633469,576851
