STATE,POPULATION,YEAR
ND,642200,01/01/2000
ME,1274923,01/01/2000
RI,1048319,01/01/2000
SC,4012012,01/01/2000
MS,2844658,01/01/2000
MT,902195,01/01/2000
VA,7078515,01/01/2000
AZ,5130632,01/01/2000
UT,2233169,01/01/2000
MI,9938444,01/01/2000
SD,754844,01/01/2000
LA,4468976,01/01/2000
NV,1998257,01/01/2000
PA,12281054,01/01/2000
CO,4301261,01/01/2000
MD,5296486,01/01/2000
KY,4041769,01/01/2000
MA,6349097,01/01/2000
VT,608827,01/01/2000
AL,4447100,01/01/2000
OK,3450654,01/01/2000
KS,2688418,01/01/2000
DE,783600,01/01/2000
IA,2926324,01/01/2000
WI,5363675,01/01/2000
WY,493782,01/01/2000
FL,15982378,01/01/2000
NC,8049313,01/01/2000
OR,3421399,01/01/2000
MO,5595211,01/01/2000
IL,12419293,01/01/2000
NE,1711263,01/01/2000
WA,5894121,01/01/2000
OH,11353140,01/01/2000
NM,1819046,01/01/2000
HI,1211537,01/01/2000
GA,8186453,01/01/2000
CT,3405565,01/01/2000
WV,1808344,01/01/2000
NH,1235786,01/01/2000
ID,1293953,01/01/2000
NY,18976457,01/01/2000
CA,33871648,01/01/2000
TX,20851820,01/01/2000
AR,2673400,01/01/2000
IN,6080485,01/01/2000
TN,5689283,01/01/2000
MN,4919479,01/01/2000
AK,626932,01/01/2000
NJ,8414350,01/01/2000
ME,1328361,01/01/2010
DE,897934,01/01/2010
ND,672591,01/01/2010
AR,2915918,01/01/2010
IA,3046355,01/01/2010
VA,8001024,01/01/2010
LA,4533372,01/01/2010
WY,563626,01/01/2010
OR,3831074,01/01/2010
NC,9535483,01/01/2010
KY,4339367,01/01/2010
IN,6483802,01/01/2010
MT,989415,01/01/2010
MA,6547629,01/01/2010
PA,12702379,01/01/2010
SD,814180,01/01/2010
NV,2700551,01/01/2010
AL,4779736,01/01/2010
CT,3574097,01/01/2010
RI,1052567,01/01/2010
MI,9883640,01/01/2010
NM,2059179,01/01/2010
TN,6346105,01/01/2010
MN,5303925,01/01/2010
CA,37253956,01/01/2010
VT,625741,01/01/2010
WV,1852994,01/01/2010
NE,1826341,01/01/2010
WI,5686986,01/01/2010
TX,25145561,01/01/2010
OK,3751351,01/01/2010
IL,12830632,01/01/2010
OH,11536504,01/01/2010
MO,5988927,01/01/2010
GA,9687653,01/01/2010
MD,5773552,01/01/2010
AK,710231,01/01/2010
NJ,8791894,01/01/2010
MS,2967297,01/01/2010
HI,1360301,01/01/2010
NY,19378102,01/01/2010
SC,4625364,01/01/2010
NH,1316470,01/01/2010
CO,5029196,01/01/2010
ID,1567582,01/01/2010
WA,6724540,01/01/2010
FL,18801310,01/01/2010
KS,2853118,01/01/2010
UT,2763885,01/01/2010
AZ,6392017,01/01/2010
FL,21538187,01/01/2020
NY,20201249,01/01/2020
UT,3271616,01/01/2020
ID,1839106,01/01/2020
TX,29145505,01/01/2020
VA,8631393,01/01/2020
MN,5706494,01/01/2020
OH,11799448,01/01/2020
IA,3190369,01/01/2020
MT,1084225,01/01/2020
WV,1793716,01/01/2020
AL,5024279,01/01/2020
MI,10077331,01/01/2020
GA,10711908,01/01/2020
OR,4237256,01/01/2020
AR,3011524,01/01/2020
KY,4505836,01/01/2020
MO,6154913,01/01/2020
WA,7705281,01/01/2020
VT,643077,01/01/2020
TN,6910840,01/01/2020
RI,1097379,01/01/2020
IN,6785528,01/01/2020
HI,1455271,01/01/2020
NV,3104614,01/01/2020
MS,2961279,01/01/2020
ND,779094,01/01/2020
AK,733391,01/01/2020
OK,3959353,01/01/2020
WY,576851,01/01/2020
NC,10439388,01/01/2020
SC,5118425,01/01/2020
ME,1362359,01/01/2020
CA,39538223,01/01/2020
NJ,9288994,01/01/2020
NH,1377529,01/01/2020
MA,7029917,01/01/2020
KS,2937880,01/01/2020
AZ,7151502,01/01/2020
PA,13002700,01/01/2020
DE,989948,01/01/2020
CT,3605944,01/01/2020
IL,12812508,01/01/2020
MD,6177224,01/01/2020
WI,5893718,01/01/2020
CO,5773714,01/01/2020
NE,1961504,01/01/2020
SD,886667,01/01/2020
LA,4657757,01/01/2020
NM,2117522,01/01/2020
